ticker,company_name,our_sector,screener_broad_sector,screener_sector,screener_broad_industry,screener_industry,status
360ONE.NS,360 ONE WAM LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,ok
3MINDIA.NS,3M INDIA LIMITED,INDUSTRIAL,Diversified,Diversified,Diversified,Diversified,ok
AADHARHFC.NS,AADHAR HOUSING FINANCE LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Finance,Housing Finance Company,ok
AARTIIND.NS,AARTI INDUSTRIES LIMITED,CHEMICALS,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,ok
AAVAS.NS,AAVAS FINANCIERS LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Finance,Housing Finance Company,ok
ABB.NS,ABB INDIA LIMITED,INDUSTRIAL,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,ok
ABBOTINDIA.NS,ABBOTT INDIA LIMITED,HEALTHCARE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
ABCAPITAL.NS,ADITYA BIRLA CAPITAL LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Finance,Investment Company,ok
ABFRL.NS,ADITYA BIRLA FASHION AND RETAIL LIMITED,CONSUMER SERVICES,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,ok
ABREL.NS,ADITYA BIRLA REAL ESTATE LIMITED,REALTY,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",ok
ABSLAMC.NS,ADITYA BIRLA SUN LIFE AMC LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Capital Markets,Asset Management Company,ok
ACC.NS,ACC LIMITED,CEMENT,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,ok
ACE.NS,ACTION CONSTRUCTION EQUIPMENT LIMITED,INDUSTRIAL,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,ok
ACI.NS,ARCHEAN CHEMICAL INDUSTRIES LIMITED,CHEMICALS,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,ok
ADANIENSOL.NS,ADANI ENERGY SOLUTIONS LIMITED,ENERGY,Utilities,Power,Power,Power Distribution,ok
ADANIENT.NS,ADANI ENTERPRISES LIMITED,CONGLOMERATE,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Minerals,ok
ADANIGREEN.NS,ADANI GREEN ENERGY LIMITED,ENERGY,Utilities,Power,Power,Power Generation,ok
ADANIPORTS.NS,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,INFRASTRUCTURE,Services,Services,Transport Infrastructure,Port & Port services,ok
ADANIPOWER.NS,ADANI POWER LIMITED,ENERGY,Utilities,Power,Power,Integrated Power Utilities,ok
AEGISLOG.NS,AEGIS LOGISTICS LIMITED,LOGISTICS,Energy,"Oil, Gas & Consumable Fuels",Gas,Trading - Gas,ok
AFFLE.NS,AFFLE (INDIA) LIMITED,IT,Information Technology,Information Technology,IT - Services,IT Enabled Services,ok
AIAENG.NS,AIA ENGINEERING LIMITED,INDUSTRIAL,Industrials,Capital Goods,Industrial Products,Castings & Forgings,ok
AJANTPHARM.NS,AJANTA PHARMA LIMITED,HEALTHCARE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
AKUMS.NS,AKUMS DRUGS AND PHARMACEUTICALS,HEALTHCARE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
ALKEM.NS,ALKEM LABORATORIES LIMITED,HEALTHCARE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
ALKYLAMINE.NS,ALKYL AMINES CHEMICALS LIMITED,CHEMICALS,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,ok
ALLCARGO.NS,ALLCARGO LOGISTICS LIMITED,LOGISTICS,Services,Services,Transport Services,Logistics Solution Provider,ok
ALOKINDS.NS,ALOK INDUSTRIES LIMITED,TEXTILES,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,ok
AMBER.NS,AMBER ENTERPRISES INDIA LTD,CONSUMER DURABLES,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,ok
AMBUJACEM.NS,AMBUJA CEMENTS LIMITED,CEMENT,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,ok
ANANDRATHI.NS,ANAND RATHI WEALTH LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Capital Markets,Financial Products Distributor,ok
ANANTRAJ.NS,ANANT RAJ LIMITED,REALTY,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",ok
ANGELONE.NS,ANGEL ONE LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,ok
APARINDS.NS,APOLLO PIPES LIMITED,AUTO COMPONENTS,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,ok
APLAPOLLO.NS,APL APOLLO TUBES LIMITED,METALS,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,ok
APLLTD.NS,APL LIMITED,INDUSTRIAL,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
APOLLOHOSP.NS,APOLLO HOSPITALS ENTERPRISE LIMITED,HEALTHCARE,Healthcare,Healthcare,Healthcare Services,Hospital,ok
APOLLOTYRE.NS,APOLLO TYRES LIMITED,AUTO COMPONENTS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,ok
APTUS.NS,APTUS VALUE HOUSING FINANCE INDIA,FINANCIAL SERVICES,Financial Services,Financial Services,Finance,Housing Finance Company,ok
ARE&M.NS,AMARA RAJA ENERGY & MOBILITY LIMITED,AUTOMOBILE,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ok
ASAHIINDIA.NS,ASAHI INDIA GLASS LIMITED,AUTO COMPONENTS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ok
ASHAPURMIN.NS,Ashapura Minechem,METALS,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals,ok
ASHOKA.NS,ASHOKA BUILDCON LIMITED,INFRASTRUCTURE,Industrials,Construction,Construction,Civil Construction,ok
ASHOKLEY.NS,ASHOK LEYLAND LTD,AUTOMOBILE,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,ok
ASIANENE.NS,ASIAN ENERGY SERVICES LTD,ENERGY,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Equipment & Services,ok
ASIANPAINT.NS,ASIAN PAINTS LIMITED,CHEMICALS,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints,ok
ASTERDM.NS,ASTER DM HEALTHCARE LIMITED,HEALTHCARE,Healthcare,Healthcare,Healthcare Services,Hospital,ok
ASTRAL.NS,ASTRAL LIMITED,INDUSTRIAL,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,ok
ASTRAZEN.NS,ASTRAZENECA PHARMA INDIA LIMITED,HEALTHCARE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
ATGL.NS,ADANI TOTAL GAS LIMITED,ENERGY,Energy,"Oil, Gas & Consumable Fuels",Gas,LPG/CNG/PNG/LNG Supplier,ok
ATUL.NS,ATUL LIMITED,CHEMICALS,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,ok
AUBANK.NS,AU SMALL FINANCE BANK LIMITED,BANKING,Financial Services,Financial Services,Banks,Other Bank,ok
AUROPHARMA.NS,AUROBINDO PHARMA LIMITED,HEALTHCARE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
AVANTEL.NS,AVANTEL LIMITED,DEFENCE,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,ok
AVANTIFEED.NS,AVANTI FEEDS LIMITED,AGRICULTURE,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Animal Feed,ok
AWL.NS,ADANI WILMAR LIMITED,FMCG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,ok
AXISBANK.NS,AXIS BANK LIMITED,BANKING,Financial Services,Financial Services,Banks,Private Sector Bank,ok
BAJAJ-AUTO.NS,BAJAJ AUTO LIMITED,AUTOMOBILE,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,ok
BAJAJFINSV.NS,BAJAJ FINSERV LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Finance,Holding Company,ok
BAJAJHLDNG.NS,BAJAJ HOLDINGS & INVESTMENT LIMITED,CONGLOMERATE,Financial Services,Financial Services,Finance,Holding Company,ok
BAJFINANCE.NS,BAJAJ FINANCE LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),ok
BALAMINES.NS,BALAJI AMINES LIMITED,CHEMICALS,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,ok
BALKRISIND.NS,BALKRISHNA INDUSTRIES LIMITED,AUTO COMPONENTS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,ok
BALRAMCHIN.NS,BALRAMPUR CHINI MILLS LIMITED,FMCG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,ok
BANDHANBNK.NS,BANDHAN BANK LIMITED,BANKING,Financial Services,Financial Services,Banks,Private Sector Bank,ok
BANKBARODA.NS,BANK OF BARODA,BANKING,Financial Services,Financial Services,Banks,Public Sector Bank,ok
BANKINDIA.NS,BANK OF INDIA,BANKING,Financial Services,Financial Services,Banks,Public Sector Bank,ok
BASF.NS,BASF INDIA LIMITED,CHEMICALS,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,ok
BATAINDIA.NS,BATA INDIA LIMITED,CONSUMER DURABLES,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear,ok
BAYERCROP.NS,BAYER CROPSCIENCE LIMITED,CHEMICALS,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,ok
BBTC.NS,BOMBAY BURMAH TRADING CORPORATION,CONGLOMERATE,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,ok
BDL.NS,BHARAT DYNAMICS LIMITED,DEFENCE,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,ok
BEL.NS,BHARAT ELECTRONICS LTD,DEFENCE,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,ok
BELRISE.NS,BELRISE INDUSTRIES LIMITED,INDUSTRIAL,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ok
BEML.NS,BHARAT EARTH MOVERS LIMITED,DEFENCE,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,ok
BERGEPAINT.NS,BERGER PAINTS INDIA LIMITED,CHEMICALS,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints,ok
BHARATFORG.NS,BHARAT FORGE LIMITED,AUTO COMPONENTS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ok
BHARATRAS.NS,BHARAT RASAYAN LIMITED,CHEMICALS,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,ok
BHARTIARTL.NS,BHARTI AIRTEL LTD,TELECOM,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services,ok
BHARTIHEXA.NS,BHARTI HEXACOM LIMITED,TELECOM,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services,ok
BHEL.NS,BHARAT HEAVY ELECTRICALS LIMITED,INDUSTRIAL,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,ok
BIKAJI.NS,BIKAJI FOODS INTERNATIONAL LIMITED,FMCG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,ok
BIOCON.NS,BIOCON LIMITED,HEALTHCARE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
